Control Area,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO
3/1/2025,$40.80 ,$37.95 ,$41.40 ,$38.30 ,$34.97 ,$79.04 ,$80.70 ,$79.70 ,$76.55 ,$86.65 ,$83.58 
4/1/2025,$36.90 ,$33.13 ,$34.97 ,$31.86 ,$34.48 ,$51.09 ,$50.80 ,$51.26 ,$51.32 ,$54.55 ,$57.33 
5/1/2025,$39.70 ,$31.54 ,$33.47 ,$29.22 ,$35.69 ,$49.89 ,$49.95 ,$50.31 ,$50.45 ,$53.75 ,$57.60 
6/1/2025,$44.80 ,$34.75 ,$35.39 ,$32.86 ,$39.52 ,$51.94 ,$52.10 ,$53.75 ,$52.99 ,$57.15 ,$59.25 
7/1/2025,$56.85 ,$47.20 ,$47.08 ,$42.56 ,$52.27 ,$57.47 ,$59.20 ,$61.93 ,$63.25 ,$66.60 ,$67.35 
8/1/2025,$54.40 ,$43.40 ,$44.66 ,$43.67 ,$51.07 ,$54.43 ,$56.60 ,$58.47 ,$58.04 ,$65.25 ,$65.26 
9/1/2025,$41.35 ,$31.70 ,$34.56 ,$32.39 ,$37.31 ,$46.63 ,$47.90 ,$48.32 ,$48.47 ,$53.35 ,$54.66 
10/1/2025,$32.70 ,$25.49 ,$28.39 ,$24.83 ,$29.55 ,$45.25 ,$43.15 ,$44.49 ,$45.58 ,$48.75 ,$53.49 
11/1/2025,$31.10 ,$26.48 ,$30.89 ,$30.38 ,$33.48 ,$62.76 ,$60.85 ,$62.19 ,$62.74 ,$65.20 ,$70.75 
12/1/2025,$44.70 ,$41.75 ,$45.77 ,$44.08 ,$40.39 ,$90.82 ,$89.95 ,$89.69 ,$89.61 ,$95.50 ,$94.39 
1/1/2026,$81.60 ,$86.77 ,$87.80 ,$81.29 ,$64.41 ,$128.72 ,$125.20 ,$127.96 ,$130.86 ,$147.55 ,$146.32 
2/1/2026,$76.75 ,$81.93 ,$82.77 ,$70.79 ,$61.47 ,$122.55 ,$119.40 ,$121.91 ,$125.57 ,$140.00 ,$136.96 
3/1/2026,$47.35 ,$46.75 ,$48.20 ,$45.10 ,$41.77 ,$67.54 ,$70.35 ,$69.70 ,$68.80 ,$79.75 ,$78.68 
4/1/2026,$40.15 ,$38.38 ,$38.72 ,$35.61 ,$39.23 ,$53.39 ,$54.10 ,$54.56 ,$54.62 ,$60.25 ,$63.03 
5/1/2026,$43.25 ,$35.84 ,$37.52 ,$32.77 ,$39.24 ,$51.79 ,$52.60 ,$52.96 ,$54.35 ,$57.85 ,$61.70 
6/1/2026,$46.90 ,$39.10 ,$37.99 ,$34.96 ,$41.62 ,$51.64 ,$53.05 ,$53.95 ,$54.44 ,$59.70 ,$63.80 
7/1/2026,$64.00 ,$57.35 ,$54.23 ,$50.21 ,$58.67 ,$66.82 ,$69.05 ,$71.03 ,$72.10 ,$79.25 ,$82.00 
8/1/2026,$60.95 ,$52.45 ,$52.46 ,$49.72 ,$57.62 ,$63.68 ,$66.35 ,$67.72 ,$68.54 ,$77.65 ,$79.16 
9/1/2026,$45.65 ,$37.50 ,$39.36 ,$37.69 ,$42.11 ,$50.48 ,$52.25 ,$52.67 ,$53.82 ,$60.10 ,$64.41 
10/1/2026,$39.05 ,$33.59 ,$34.74 ,$32.68 ,$37.90 ,$47.80 ,$46.95 ,$47.29 ,$49.88 ,$54.80 ,$61.04 
11/1/2026,$35.55 ,$33.43 ,$35.84 ,$36.83 ,$39.43 ,$56.31 ,$54.40 ,$54.74 ,$57.29 ,$61.65 ,$67.70 
12/1/2026,$48.50 ,$46.05 ,$50.07 ,$46.88 ,$44.69 ,$76.87 ,$74.50 ,$74.24 ,$75.91 ,$83.85 ,$86.24 
1/1/2027,$81.30 ,$86.97 ,$83.00 ,$74.49 ,$61.11 ,$137.77 ,$135.50 ,$135.01 ,$135.91 ,$146.75 ,$145.27 
2/1/2027,$75.70 ,$81.38 ,$77.72 ,$66.24 ,$56.42 ,$129.80 ,$128.40 ,$127.66 ,$129.32 ,$138.35 ,$136.31 
3/1/2027,$50.05 ,$51.20 ,$50.65 ,$44.05 ,$41.22 ,$79.94 ,$81.75 ,$82.10 ,$79.20 ,$87.35 ,$86.28 
4/1/2027,$40.65 ,$41.13 ,$38.47 ,$32.86 ,$35.98 ,$60.34 ,$62.55 ,$63.01 ,$60.07 ,$66.20 ,$70.98 
5/1/2027,$43.65 ,$37.24 ,$37.17 ,$31.42 ,$37.39 ,$58.59 ,$59.65 ,$60.01 ,$60.15 ,$63.30 ,$68.15 
6/1/2027,$47.10 ,$39.05 ,$37.44 ,$34.41 ,$40.57 ,$57.94 ,$59.60 ,$60.50 ,$59.74 ,$64.60 ,$70.20 
7/1/2027,$61.55 ,$53.40 ,$49.28 ,$45.76 ,$53.97 ,$72.97 ,$75.70 ,$78.18 ,$78.25 ,$83.20 ,$86.95 
8/1/2027,$58.60 ,$51.10 ,$48.61 ,$46.37 ,$52.77 ,$69.33 ,$72.50 ,$73.37 ,$72.94 ,$81.25 ,$85.26 
9/1/2027,$47.65 ,$39.00 ,$39.36 ,$37.69 ,$42.11 ,$58.48 ,$61.00 ,$61.67 ,$61.82 ,$66.60 ,$71.41 
10/1/2027,$41.65 ,$31.44 ,$33.84 ,$32.28 ,$34.50 ,$54.55 ,$56.20 ,$56.79 ,$56.88 ,$62.60 ,$67.84 
11/1/2027,$38.85 ,$30.23 ,$34.64 ,$35.63 ,$35.73 ,$65.61 ,$64.45 ,$65.04 ,$65.09 ,$69.85 ,$75.90 
12/1/2027,$51.80 ,$42.60 ,$49.37 ,$49.68 ,$50.49 ,$88.92 ,$86.55 ,$87.29 ,$87.21 ,$93.15 ,$101.39 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
